model,cv_fold,horizon,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
LSTM,4,20,16.971563246748012,10.199731756508065,0.5193773329593038,-0.9648312833899126
LSTM,4,21,17.047617041640105,10.213844845972666,0.5155188561313064,-1.0451486257931448
LSTM,4,22,17.08756134479202,10.231948943940978,0.5136798812220522,-1.0753775176013822
LSTM,4,23,17.173277115123007,10.282240095249065,0.5091639970030821,-1.09376612931754
LSTM,4,24,17.27069658021675,10.343687689312478,0.5035092462703624,-1.2050797774504054
LSTM,5,1,10.526657138607144,6.078944676281565,0.8260455248280566,-0.6451588616699445
LSTM,5,2,11.810901939091874,6.849068527150171,0.7810380755980175,-0.8419488138135145
LSTM,5,3,13.036473683281882,7.671731657192018,0.7332812869463685,-0.7511345000354791
LSTM,5,4,14.249592914102188,8.315360082179085,0.6814008620824721,-1.0460027282223379
LSTM,5,5,15.134520518860311,8.781108408130263,0.640718909311424,-1.1280889676554962
LSTM,5,6,15.859669998096773,9.201210393788624,0.6054941956241866,-1.0809337514228534
LSTM,5,7,16.266956319507504,9.434465496801728,0.5849512669163597,-1.1257027878270476
LSTM,5,8,16.516222152269183,9.61003298785464,0.5721056987884579,-1.1656415714726773
LSTM,5,9,16.729358898847025,9.777862892657945,0.5609325102863303,-0.993338376937793
LSTM,5,10,16.858977336026353,9.959142443625067,0.5539548550946157,-0.6571706736746005
LSTM,5,11,16.935319714167946,9.993710949929621,0.5496002711116433,-0.5034639732969316
LSTM,5,12,16.868316753625443,10.041933714002676,0.5528995249398649,-0.2231869801584358
LSTM,5,13,16.920353116271997,10.018397992634009,0.5499331394909204,-0.3002835516224285
LSTM,5,14,16.940295018813,10.24230550520259,0.548760530513257,0.4478532304874311
LSTM,5,15,17.017632799623676,10.240116365896899,0.5446043842116604,0.5317722167136643
LSTM,5,16,17.06911123522594,10.3170901168506,0.5419005654193789,0.8266708440982168
LSTM,5,17,17.157580432175216,10.370833013556648,0.5373341779465406,0.8921953480180299
LSTM,5,18,17.23633578894745,10.413420093408961,0.5334250166441905,0.981970308065902
LSTM,5,19,17.266545788574316,10.520171480757408,0.5320879465546066,1.2726384917651221
LSTM,5,20,17.193895328398504,10.445857279724871,0.5363266684428794,1.2324083940626898
LSTM,5,21,17.2261487430619,10.446407800673137,0.5348494639489615,1.1794651338984226
LSTM,5,22,17.268668103171038,10.457313141110971,0.5326932353001024,1.100762893362117
LSTM,5,23,17.322517785899016,10.497493370227776,0.5298370482019346,1.1147136408695983
LSTM,5,24,17.42632869422953,10.58263712793934,0.5246900927784839,1.0299987852776544
SARIMAX,1,1,5.672933549276042,3.2280865340021343,0.9618874653355529,-0.22315965838223953
SARIMAX,1,2,9.368163536168572,5.563485284796601,0.8960640411224723,-0.43526952112138123
SARIMAX,1,3,12.290343344886859,7.41412082469592,0.8211282087282037,-0.6434374062958156
SARIMAX,1,4,14.659253145719942,8.862272204338023,0.7456076466871577,-0.8474080572527449
SARIMAX,1,5,16.582695283239097,10.048696364010345,0.6746636134276249,-1.0494513447694405
SARIMAX,1,6,18.117460630358224,10.971053054488596,0.6118937755966651,-1.2462852367737445
SARIMAX,1,7,19.330077323734287,11.68299080496385,0.5581323638901032,-1.4301659854750608
SARIMAX,1,8,20.30709983722564,12.216190624484868,0.5122818676208851,-1.6014338326336004
SARIMAX,1,9,21.112992420652233,12.657648313649076,0.47275817217386473,-1.7667307390790443
SARIMAX,1,10,21.741439207434347,12.993727297238541,0.4408757429251664,-1.9262979340448545
SARIMAX,1,11,22.212321970486993,13.271479107588352,0.4163706910675711,-2.082763317710092
SARIMAX,1,12,22.55861183405992,13.484674370575487,0.39803423959816053,-2.2346887809798033
SARIMAX,1,13,22.825109047039472,13.640300040126617,0.38379706019430604,-2.3782946486095464
SARIMAX,1,14,23.028805827326444,13.766762703221323,0.37285900647973214,-2.514523769245735
SARIMAX,1,15,23.182267608686253,13.826231904399846,0.36461459617775416,-2.6454761915636826
SARIMAX,1,16,23.315037507208242,13.86582585236384,0.35747618014251337,-2.770955133097266
SARIMAX,1,17,23.423545866485522,13.91991745954745,0.3516623362432504,-2.890847340545422
SARIMAX,1,18,23.513629293334382,13.966001818302312,0.34686284664368405,-3.007751393388653
SARIMAX,1,19,23.59077272634733,14.029547855220471,0.342628084870483,-3.1274563139739837
